ID;TERMS (PT-NPT);RELATIONS;PT;MT
6723;Agenția europeană pentru îmbunătățirea cooperării judiciare;USE;Eurojust;1016 construcţie europeană
6219;Agenția pentru Drepturi Fundamentale a Uniunii Europene;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
428;Agenția pentru Energie Nucleară;;;7621 organizaţii mondiale
6252;Ahvenanmaa;USE;Aland;7211 regiuni ale statelor membre ale Uniunii Europene
6252;Ahvenanmaa;USE;Aland;7236 geografie politică
6252;Aland;;;7211 regiuni ale statelor membre ale Uniunii Europene
6252;Aland;;;7236 geografie politică
8499;Alba;;;7211 regiuni ale statelor membre ale Uniunii Europene
1125;Albania;;;7206 Europa
1125;Albania;;;7231 geografie economică
1125;Albania;;;7236 geografie politică
1177;Alentejo;;;7211 regiuni ale statelor membre ale Uniunii Europene
7900;Alföld-ul de Nord;;;7211 regiuni ale statelor membre ale Uniunii Europene
7899;Alföld-ul de Sud;;;7211 regiuni ale statelor membre ale Uniunii Europene
1187;Algarve;;;7211 regiuni ale statelor membre ale Uniunii Europene
1196;Algeria;;;7221 Africa
1196;Algeria;;;7231 geografie economică
1196;Algeria;;;7236 geografie politică
c_5bad9438;Alianța Pacificului;;;7616 organizaţii extraeuropene
5845;Alpi;USE;regiunea alpină;1616 regiuni şi politică regională
1430;Alsacia;;;7211 regiuni ale statelor membre ale Uniunii Europene
7869;Alytus;;;7211 regiuni ale statelor membre ale Uniunii Europene
1587;America;;;7216 America
1606;America Centrală;;;7216 America
1632;America Latină;;;7216 America
1615;America de Nord;;;7216 America
1624;America de Sud;;;7216 America
1664;Amnesty International;;;7626 organizaţii neguvernamentale
1873;Andaluzia;;;7211 regiuni ale statelor membre ale Uniunii Europene
1874;Andorra;;;7206 Europa
1874;Andorra;;;7236 geografie politică
5438;Anglia;;;7206 Europa
3397;Anglia de Nord-Vest;;;7206 Europa
3398;Anglia de Sud-Est;;;7206 Europa
3399;Anglia de Sud-Vest;;;7206 Europa
1876;Angola;;;7221 Africa
1876;Angola;;;7231 geografie economică
3402;Anguilla;;;7216 America
